CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,2,0.0,1,Lost / At Risk
12347.0,2,7,4310.0,3,Potential Loyalists
12348.0,75,4,1797.24,3,Potential Loyalists
12349.0,19,1,1757.55,3,Potential Loyalists
12350.0,310,1,334.4,1,Lost / At Risk
12352.0,36,11,1545.4099999999999,3,Potential Loyalists
12353.0,204,1,89.0,1,Lost / At Risk
12354.0,232,1,1079.4,1,Lost / At Risk
12355.0,214,1,459.4,1,Lost / At Risk
12356.0,23,3,2811.43,3,Potential Loyalists
12357.0,33,1,6207.67,3,Potential Loyalists
12358.0,2,2,1168.06,3,Potential Loyalists
12359.0,8,6,6245.53,3,Potential Loyalists
12360.0,52,3,2662.06,3,Potential Loyalists
12361.0,287,1,189.9,1,Lost / At Risk
12362.0,3,13,5154.58,3,Potential Loyalists
12363.0,110,2,552.0,3,Potential Loyalists
12364.0,8,4,1313.1,3,Potential Loyalists
12365.0,291,3,320.69,1,Lost / At Risk
12367.0,4,1,168.9,3,Potential Loyalists
12370.0,51,4,3545.69,3,Potential Loyalists
12371.0,45,2,1887.96,3,Potential Loyalists
12372.0,72,3,1298.04,3,Potential Loyalists
12373.0,311,1,364.6,1,Lost / At Risk
12374.0,25,1,742.93,3,Potential Loyalists
12375.0,3,3,455.42,3,Potential Loyalists
12377.0,315,2,1628.1200000000001,1,Lost / At Risk
12378.0,130,1,4008.62,3,Potential Loyalists
12379.0,82,3,850.29,3,Potential Loyalists
12380.0,22,5,2720.56,3,Potential Loyalists
12381.0,5,6,1803.96,3,Potential Loyalists
12383.0,185,6,1839.31,1,Lost / At Risk
12384.0,29,3,566.16,3,Potential Loyalists
12386.0,338,2,401.9,1,Lost / At Risk
12388.0,16,6,2780.6600000000003,3,Potential Loyalists
12390.0,80,1,549.84,3,Potential Loyalists
12391.0,22,1,460.89,3,Potential Loyalists
12393.0,72,4,1582.6000000000001,3,Potential Loyalists
12394.0,64,2,1272.48,3,Potential Loyalists
12395.0,16,15,2998.28,3,Potential Loyalists
12397.0,36,2,2409.9,3,Potential Loyalists
12398.0,46,1,1635.66,3,Potential Loyalists
12399.0,119,4,1108.65,3,Potential Loyalists
12401.0,303,1,84.3,1,Lost / At Risk
12402.0,323,1,225.6,1,Lost / At Risk
12403.0,50,2,409.7,3,Potential Loyalists
12405.0,149,1,1710.39,1,Lost / At Risk
12406.0,22,3,3280.75,3,Potential Loyalists
12407.0,50,5,1708.12,3,Potential Loyalists
12408.0,33,9,2842.57,3,Potential Loyalists
12409.0,79,7,11056.93,3,Potential Loyalists
12410.0,301,3,681.08,1,Lost / At Risk
12412.0,75,3,1226.88,3,Potential Loyalists
12413.0,67,5,694.15,3,Potential Loyalists
12414.0,217,3,562.41,1,Lost / At Risk
12415.0,24,26,123725.45,2,Champions / VIPs
12417.0,3,12,3578.8,3,Potential Loyalists
12418.0,113,1,668.58,3,Potential Loyalists
12420.0,64,1,600.39,3,Potential Loyalists
12421.0,16,5,806.27,3,Potential Loyalists
12422.0,96,3,803.5600000000001,3,Potential Loyalists
12423.0,1,9,1849.1100000000001,3,Potential Loyalists
12424.0,163,2,1760.96,1,Lost / At Risk
12425.0,78,1,777.2,3,Potential Loyalists
12426.0,195,1,582.73,1,Lost / At Risk
12427.0,12,5,708.37,3,Potential Loyalists
12428.0,26,12,7877.2,3,Potential Loyalists
12429.0,9,4,3750.4,3,Potential Loyalists
12430.0,43,1,256.4,3,Potential Loyalists
12431.0,36,18,6416.39,0,Loyal Customers
12432.0,43,5,5059.32,3,Potential Loyalists
12433.0,1,7,13375.87,3,Potential Loyalists
12434.0,85,4,765.19,3,Potential Loyalists
12435.0,80,2,7829.89,3,Potential Loyalists
12436.0,100,1,509.01,3,Potential Loyalists
12437.0,2,19,4896.66,0,Loyal Customers
12438.0,14,2,2906.85,3,Potential Loyalists
12441.0,367,1,173.55,1,Lost / At Risk
12442.0,3,1,172.06,3,Potential Loyalists
12444.0,21,5,5005.46,3,Potential Loyalists
12445.0,22,1,133.4,3,Potential Loyalists
12446.0,58,1,1002.3100000000001,3,Potential Loyalists
12447.0,243,1,476.49,1,Lost / At Risk
12448.0,44,1,449.45,3,Potential Loyalists
12449.0,22,4,4067.29,3,Potential Loyalists
12450.0,156,2,197.88,1,Lost / At Risk
12451.0,11,6,8933.52,3,Potential Loyalists
12452.0,17,3,428.57,3,Potential Loyalists
12453.0,134,1,707.09,3,Potential Loyalists
12454.0,53,2,8.526512829121202e-14,3,Potential Loyalists
12455.0,73,6,2466.86,3,Potential Loyalists
12456.0,44,4,3153.89,3,Potential Loyalists
12457.0,58,12,1917.78,3,Potential Loyalists
12458.0,71,2,947.4,3,Potential Loyalists
12461.0,94,2,826.88,3,Potential Loyalists
12462.0,2,4,1124.01,3,Potential Loyalists
12463.0,46,7,1303.63,3,Potential Loyalists
12464.0,10,8,1212.05,3,Potential Loyalists
12465.0,8,3,733.89,3,Potential Loyalists
12468.0,143,3,724.04,3,Potential Loyalists
12471.0,2,49,18740.92,0,Loyal Customers
12472.0,31,13,6229.48,3,Potential Loyalists
12473.0,29,9,2848.23,3,Potential Loyalists
12474.0,17,30,7116.47,0,Loyal Customers
12475.0,54,1,723.38,3,Potential Loyalists
12476.0,1,20,6546.58,0,Loyal Customers
12477.0,23,9,13117.01,3,Potential Loyalists
12478.0,4,1,680.99,3,Potential Loyalists
12479.0,4,3,477.3,3,Potential Loyalists
12480.0,28,4,3281.63,3,Potential Loyalists
12481.0,23,11,5590.86,3,Potential Loyalists
12483.0,17,13,2327.13,3,Potential Loyalists
12484.0,33,8,4495.27,3,Potential Loyalists
12488.0,10,3,1298.66,3,Potential Loyalists
12489.0,336,1,334.93,1,Lost / At Risk
12490.0,5,10,5417.93,3,Potential Loyalists
12491.0,39,1,460.40000000000003,3,Potential Loyalists
12492.0,63,2,263.21,3,Potential Loyalists
12493.0,166,3,416.79,1,Lost / At Risk
12494.0,10,13,1139.35,3,Potential Loyalists
12497.0,82,1,1043.1,3,Potential Loyalists
12498.0,21,3,403.70000000000005,3,Potential Loyalists
12500.0,23,13,4206.2699999999995,3,Potential Loyalists
12501.0,315,2,2089.68,1,Lost / At Risk
12502.0,96,5,3723.87,3,Potential Loyalists
12503.0,338,1,-1126.0,1,Lost / At Risk
12504.0,18,4,114.0,3,Potential Loyalists
12505.0,301,1,-4.5,1,Lost / At Risk
12506.0,233,1,73.5,1,Lost / At Risk
12507.0,134,4,1258.06,3,Potential Loyalists
12508.0,26,2,398.27,3,Potential Loyalists
12509.0,284,1,176.5,1,Lost / At Risk
12510.0,143,2,982.5699999999999,3,Potential Loyalists
12512.0,66,2,138.03,3,Potential Loyalists
12513.0,85,2,586.79,3,Potential Loyalists
12514.0,267,1,1017.68,1,Lost / At Risk
12515.0,353,1,383.7,1,Lost / At Risk
12516.0,78,2,1312.06,3,Potential Loyalists
12517.0,28,6,2464.89,3,Potential Loyalists
12518.0,1,5,2056.89,3,Potential Loyalists
12519.0,64,1,340.84,3,Potential Loyalists
12520.0,79,6,2582.5099999999998,3,Potential Loyalists
